Week,Municipality,DIVIPOLA,Cases
2021-12-27,Medellin,5001,3
2021-05-17,MEDELLiN,5001,1
2020-02-24,MEDELLIN,5001,1
2020-03-02,MEDELLIN,5001,5
2020-03-09,MEDELLIN,5001,35
2020-03-16,MEDELLIN,5001,62
2020-03-23,MEDELLIN,5001,38
2020-03-30,MEDELLIN,5001,29
2020-04-06,MEDELLIN,5001,44
2020-04-13,MEDELLIN,5001,34
2020-04-20,MEDELLIN,5001,31
2020-04-27,MEDELLIN,5001,22
2020-05-04,MEDELLIN,5001,38
2020-05-11,MEDELLIN,5001,78
2020-05-18,MEDELLIN,5001,94
2020-05-25,MEDELLIN,5001,112
2020-06-01,MEDELLIN,5001,279
2020-06-08,MEDELLIN,5001,347
2020-06-15,MEDELLIN,5001,920
2020-06-22,MEDELLIN,5001,1590
2020-06-29,MEDELLIN,5001,3693
2020-07-06,MEDELLIN,5001,6477
2020-07-13,MEDELLIN,5001,6592
2020-07-20,MEDELLIN,5001,7579
2020-07-27,MEDELLIN,5001,5717
2020-08-03,MEDELLIN,5001,5304
2020-08-10,MEDELLIN,5001,5765
2020-08-17,MEDELLIN,5001,4846
2020-08-24,MEDELLIN,5001,5015
2020-08-31,MEDELLIN,5001,5361
2020-09-07,MEDELLIN,5001,4362
2020-09-14,MEDELLIN,5001,4484
2020-09-21,MEDELLIN,5001,6047
2020-09-28,MEDELLIN,5001,7974
2020-10-05,MEDELLIN,5001,6693
2020-10-12,MEDELLIN,5001,8122
2020-10-19,MEDELLIN,5001,7405
2020-10-26,MEDELLIN,5001,5477
2020-11-02,MEDELLIN,5001,4472
2020-11-09,MEDELLIN,5001,4353
2020-11-16,MEDELLIN,5001,3220
2020-11-23,MEDELLIN,5001,4869
2020-11-30,MEDELLIN,5001,4267
2020-12-07,MEDELLIN,5001,6503
2020-12-14,MEDELLIN,5001,7210
2020-12-21,MEDELLIN,5001,7798
2020-12-28,MEDELLIN,5001,10206
2021-01-04,MEDELLIN,5001,8311
2021-01-11,MEDELLIN,5001,7140
2021-01-18,MEDELLIN,5001,4654
2021-01-25,MEDELLIN,5001,3156
2021-02-01,MEDELLIN,5001,2466
2021-02-08,MEDELLIN,5001,2021
2021-02-15,MEDELLIN,5001,1888
2021-02-22,MEDELLIN,5001,1873
2021-03-01,MEDELLIN,5001,2489
2021-03-08,MEDELLIN,5001,3892
2021-03-15,MEDELLIN,5001,6399
2021-03-22,MEDELLIN,5001,10652
2021-03-29,MEDELLIN,5001,13733
2021-04-05,MEDELLIN,5001,14782
2021-04-12,MEDELLIN,5001,12653
2021-04-19,MEDELLIN,5001,10709
2021-04-26,MEDELLIN,5001,7999
2021-05-03,MEDELLIN,5001,7854
2021-05-10,MEDELLIN,5001,7117
2021-05-17,MEDELLIN,5001,9173
2021-05-24,MEDELLIN,5001,10172
2021-05-31,MEDELLIN,5001,10416
2021-06-07,MEDELLIN,5001,11191
2021-06-14,MEDELLIN,5001,13189
2021-06-21,MEDELLIN,5001,12266
2021-06-28,MEDELLIN,5001,9595
2021-07-05,MEDELLIN,5001,8369
2021-07-12,MEDELLIN,5001,5560
2021-07-19,MEDELLIN,5001,4998
2021-07-26,MEDELLIN,5001,4089
2021-08-02,MEDELLIN,5001,3082
2021-08-09,MEDELLIN,5001,2245
2021-08-16,MEDELLIN,5001,2101
2021-08-23,MEDELLIN,5001,1645
2021-08-30,MEDELLIN,5001,1450
2021-09-06,MEDELLIN,5001,1577
2021-09-13,MEDELLIN,5001,1574
2021-09-20,MEDELLIN,5001,1566
2021-09-27,MEDELLIN,5001,1615
2021-10-04,MEDELLIN,5001,1454
2021-10-11,MEDELLIN,5001,1491
2021-10-18,MEDELLIN,5001,1504
2021-10-25,MEDELLIN,5001,1445
2021-11-01,MEDELLIN,5001,1916
2021-11-08,MEDELLIN,5001,1930
2021-11-15,MEDELLIN,5001,2340
2021-11-22,MEDELLIN,5001,2410
2021-11-29,MEDELLIN,5001,2020
2021-12-06,MEDELLIN,5001,2457
2021-12-13,MEDELLIN,5001,3637
2021-12-20,MEDELLIN,5001,10556
2021-12-27,MEDELLIN,5001,23945
2022-01-03,MEDELLIN,5001,25288
2022-01-10,MEDELLIN,5001,13369
2022-01-17,MEDELLIN,5001,7942
2022-01-24,MEDELLIN,5001,4328
2022-01-31,MEDELLIN,5001,2128
2022-02-07,MEDELLIN,5001,1313
2022-02-14,MEDELLIN,5001,664
2022-02-21,MEDELLIN,5001,397
2022-02-28,MEDELLIN,5001,246
2022-03-07,MEDELLIN,5001,196
2022-03-14,MEDELLIN,5001,171
2022-03-21,MEDELLIN,5001,174
2022-03-28,MEDELLIN,5001,151
2022-04-04,MEDELLIN,5001,110
2022-04-11,MEDELLIN,5001,142
2022-04-18,MEDELLIN,5001,155
2022-04-25,MEDELLIN,5001,203
2022-05-02,MEDELLIN,5001,379
2022-05-09,MEDELLIN,5001,580
2022-05-16,MEDELLIN,5001,886
2022-05-23,MEDELLIN,5001,1333
2022-05-30,MEDELLIN,5001,1537
2022-06-06,MEDELLIN,5001,1750
2022-06-13,MEDELLIN,5001,1322
2022-06-20,MEDELLIN,5001,1664
2022-06-27,MEDELLIN,5001,1493
2022-07-04,MEDELLIN,5001,2059
2022-07-11,MEDELLIN,5001,1525
2022-07-18,MEDELLIN,5001,991
2022-07-25,MEDELLIN,5001,955
2022-08-01,MEDELLIN,5001,585
2022-08-08,MEDELLIN,5001,417
2022-08-15,MEDELLIN,5001,276
2022-08-22,MEDELLIN,5001,200
2022-08-29,MEDELLIN,5001,156
2022-09-05,MEDELLIN,5001,45
2020-06-29,ABEJORRAL,5002,1
2020-07-06,ABEJORRAL,5002,2
2020-07-13,ABEJORRAL,5002,2
2020-07-20,ABEJORRAL,5002,5
2020-07-27,ABEJORRAL,5002,1
2020-08-03,ABEJORRAL,5002,2
2020-08-10,ABEJORRAL,5002,2
2020-08-17,ABEJORRAL,5002,7
2020-08-24,ABEJORRAL,5002,4
2020-08-31,ABEJORRAL,5002,3
2020-09-07,ABEJORRAL,5002,5
2020-09-14,ABEJORRAL,5002,1
2020-09-21,ABEJORRAL,5002,4
2020-09-28,ABEJORRAL,5002,8
2020-10-05,ABEJORRAL,5002,5
2020-10-12,ABEJORRAL,5002,5
2020-10-19,ABEJORRAL,5002,10
2020-10-26,ABEJORRAL,5002,3
2020-11-02,ABEJORRAL,5002,10
2020-11-09,ABEJORRAL,5002,7
2020-11-16,ABEJORRAL,5002,6
2020-11-23,ABEJORRAL,5002,5
2020-11-30,ABEJORRAL,5002,3
2020-12-07,ABEJORRAL,5002,14
2020-12-14,ABEJORRAL,5002,13
2020-12-21,ABEJORRAL,5002,7
2020-12-28,ABEJORRAL,5002,14
2021-01-04,ABEJORRAL,5002,32
2021-01-11,ABEJORRAL,5002,19
2021-01-18,ABEJORRAL,5002,13
2021-01-25,ABEJORRAL,5002,3
2021-02-01,ABEJORRAL,5002,2
2021-02-08,ABEJORRAL,5002,5
2021-02-15,ABEJORRAL,5002,5
2021-02-22,ABEJORRAL,5002,2
2021-03-08,ABEJORRAL,5002,2
2021-03-15,ABEJORRAL,5002,8
2021-03-22,ABEJORRAL,5002,1
2021-03-29,ABEJORRAL,5002,11
2021-04-05,ABEJORRAL,5002,11
2021-04-12,ABEJORRAL,5002,16
2021-04-19,ABEJORRAL,5002,8
2021-04-26,ABEJORRAL,5002,28
2021-05-03,ABEJORRAL,5002,9
2021-05-10,ABEJORRAL,5002,5
2021-05-17,ABEJORRAL,5002,5
2021-05-24,ABEJORRAL,5002,5
2021-05-31,ABEJORRAL,5002,13
2021-06-07,ABEJORRAL,5002,23
2021-06-14,ABEJORRAL,5002,27
2021-06-21,ABEJORRAL,5002,26
2021-06-28,ABEJORRAL,5002,32
2021-07-05,ABEJORRAL,5002,27
2021-07-12,ABEJORRAL,5002,15
2021-07-19,ABEJORRAL,5002,7
2021-07-26,ABEJORRAL,5002,4
2021-08-09,ABEJORRAL,5002,3
2021-08-16,ABEJORRAL,5002,4
2021-08-23,ABEJORRAL,5002,5
2021-08-30,ABEJORRAL,5002,9
2021-09-06,ABEJORRAL,5002,1
2021-09-13,ABEJORRAL,5002,2
2021-09-27,ABEJORRAL,5002,2
2021-10-04,ABEJORRAL,5002,1
2021-10-18,ABEJORRAL,5002,1
2021-10-25,ABEJORRAL,5002,1
2021-11-01,ABEJORRAL,5002,1
2021-11-15,ABEJORRAL,5002,1
2021-11-22,ABEJORRAL,5002,6
2021-11-29,ABEJORRAL,5002,6
2021-12-06,ABEJORRAL,5002,6
2021-12-20,ABEJORRAL,5002,2
2021-12-27,ABEJORRAL,5002,6
2022-01-03,ABEJORRAL,5002,18
2022-01-10,ABEJORRAL,5002,8
2022-01-17,ABEJORRAL,5002,2
2022-01-24,ABEJORRAL,5002,1
2022-01-31,ABEJORRAL,5002,1
2022-02-21,ABEJORRAL,5002,1
2022-05-16,ABEJORRAL,5002,1
2022-05-30,ABEJORRAL,5002,2
2022-06-20,ABEJORRAL,5002,1
2022-06-27,ABEJORRAL,5002,1
2022-07-04,ABEJORRAL,5002,1
2022-07-18,ABEJORRAL,5002,2
2022-07-25,ABEJORRAL,5002,1
2020-07-06,ABRIAQUI,5004,1
2020-07-20,ABRIAQUI,5004,4
2020-07-27,ABRIAQUI,5004,4
2020-08-03,ABRIAQUI,5004,7
2020-10-05,ABRIAQUI,5004,1
2020-10-26,ABRIAQUI,5004,2
2020-11-09,ABRIAQUI,5004,1
2020-11-16,ABRIAQUI,5004,2
2020-11-30,ABRIAQUI,5004,1
2020-12-21,ABRIAQUI,5004,1
2021-01-11,ABRIAQUI,5004,3
2021-01-18,ABRIAQUI,5004,1
2021-03-15,ABRIAQUI,5004,1
2021-03-22,ABRIAQUI,5004,1
2021-03-29,ABRIAQUI,5004,2
2021-05-03,ABRIAQUI,5004,1
2021-05-24,ABRIAQUI,5004,1
2021-06-07,ABRIAQUI,5004,8
2021-06-14,ABRIAQUI,5004,1
2021-06-21,ABRIAQUI,5004,11
2021-06-28,ABRIAQUI,5004,3
2021-07-05,ABRIAQUI,5004,12
2021-07-12,ABRIAQUI,5004,1
2021-08-16,ABRIAQUI,5004,1
2021-11-29,ABRIAQUI,5004,1
2021-12-20,ABRIAQUI,5004,1
2021-12-27,ABRIAQUI,5004,1
2022-01-03,ABRIAQUI,5004,1
2022-01-10,ABRIAQUI,5004,1
2022-01-17,ABRIAQUI,5004,1
2022-01-24,ABRIAQUI,5004,1
2022-08-01,ABRIAQUI,5004,1
2020-07-20,ALEJANDRIA,5021,1
2020-08-10,ALEJANDRIA,5021,5
2020-09-21,ALEJANDRIA,5021,1
2020-09-28,ALEJANDRIA,5021,1
2020-10-05,ALEJANDRIA,5021,1
2020-10-26,ALEJANDRIA,5021,1
2020-11-02,ALEJANDRIA,5021,1
2020-11-09,ALEJANDRIA,5021,5
2020-11-23,ALEJANDRIA,5021,4
2020-11-30,ALEJANDRIA,5021,1
2020-12-14,ALEJANDRIA,5021,1
2020-12-21,ALEJANDRIA,5021,2
2020-12-28,ALEJANDRIA,5021,8
