location,date,new_cases,new_cases_per_million,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,new_deaths,new_deaths_per_million,reproduction_rate,icu_patients,new_tests,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,CopyDate,week
Colombia,2020-03-06,1,0.019,1,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.04,2020-03-06,2020-03-02
Colombia,2020-03-07,0,0,1,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.04,2020-03-07,2020-03-02
Colombia,2020-03-08,0,0,1,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.04,2020-03-08,2020-03-02
Colombia,2020-03-09,0,0,1,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.81,2020-03-09,2020-03-09
Colombia,2020-03-10,2,0.039,3,0.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.81,2020-03-10,2020-03-09
Colombia,2020-03-11,6,0.116,9,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.81,2020-03-11,2020-03-09
Colombia,2020-03-12,0,0,9,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,2020-03-12,2020-03-09
Colombia,2020-03-13,4,0.078,13,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,2020-03-13,2020-03-09
Colombia,2020-03-14,9,0.175,22,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,2020-03-14,2020-03-09
Colombia,2020-03-15,12,0.233,34,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,2020-03-15,2020-03-09
Colombia,2020-03-16,23,0.446,57,1.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.37,2020-03-16,2020-03-16
Colombia,2020-03-17,18,0.349,75,1.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.93,2020-03-17,2020-03-16
Colombia,2020-03-18,27,0.524,102,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.93,2020-03-18,2020-03-16
