week,lineage,n,Total,freq
2020-03-02,B.1.1,1,1,100
2020-03-09,B.1,10,22,45.45454545454545
2020-03-09,B.1.1,1,22,4.545454545454546
2020-03-09,B.1.111,1,22,4.545454545454546
2020-03-09,B.1.420,1,22,4.545454545454546
2020-03-09,Other,9,22,40.909090909090914
2020-03-16,B.1,16,22,72.72727272727273
2020-03-16,B.1.1,2,22,9.090909090909092
2020-03-16,B.1.111,1,22,4.545454545454546
2020-03-16,B.1.420,1,22,4.545454545454546
2020-03-16,Other,2,22,9.090909090909092
2020-03-23,B.1,11,26,42.30769230769231
2020-03-23,B.1.1,2,26,7.6923076923076925
2020-03-23,B.1.111,6,26,23.076923076923077
2020-03-23,B.1.420,4,26,15.384615384615385
2020-03-23,Other,3,26,11.538461538461538
2020-03-30,B.1,50,75,66.66666666666666
2020-03-30,B.1.1,8,75,10.666666666666668
2020-03-30,B.1.111,7,75,9.333333333333334
2020-03-30,B.1.420,2,75,2.666666666666667
2020-03-30,Other,8,75,10.666666666666668
2020-04-06,B.1,7,9,77.77777777777779
2020-04-06,B.1.1,2,9,22.22222222222222
2020-04-13,B.1,10,17,58.82352941176471
2020-04-13,B.1.1,5,17,29.411764705882355
2020-04-13,B.1.111,1,17,5.88235294117647
2020-04-13,Unassigned,1,17,5.88235294117647
2020-04-20,B.1,9,19,47.368421052631575
2020-04-20,B.1.1,4,19,21.052631578947366
2020-04-20,B.1.111,5,19,26.31578947368421
2020-04-20,Other,1,19,5.263157894736842
2020-04-27,B.1,16,49,32.6530612244898
2020-04-27,B.1.1,4,49,8.16326530612245
2020-04-27,B.1.1.348,3,49,6.122448979591836
2020-04-27,B.1.111,19,49,38.775510204081634
2020-04-27,Other,7,49,14.285714285714285
2020-05-04,B.1,18,32,56.25
2020-05-04,B.1.111,13,32,40.625
2020-05-04,Other,1,32,3.125
2020-05-11,B.1,1,1,100
2020-05-18,Unassigned,1,1,100
2020-05-25,B.1.1,1,3,33.33333333333333
2020-05-25,B.1.111,1,3,33.33333333333333
2020-05-25,B.1.420,1,3,33.33333333333333
2020-06-01,B.1,1,5,20
2020-06-01,B.1.111,2,5,40
2020-06-01,B.1.420,1,5,20
2020-06-01,B.1.625,1,5,20
2020-06-08,B.1,2,3,66.66666666666666
2020-06-08,B.1.111,1,3,33.33333333333333
2020-06-15,B.1,4,11,36.36363636363637
2020-06-15,B.1.111,2,11,18.181818181818183
2020-06-15,B.1.420,2,11,18.181818181818183
2020-06-15,Unassigned,3,11,27.27272727272727
2020-06-22,B.1,9,19,47.368421052631575
2020-06-22,B.1.1,1,19,5.263157894736842
2020-06-22,B.1.111,4,19,21.052631578947366
2020-06-22,B.1.420,4,19,21.052631578947366
2020-06-22,Unassigned,1,19,5.263157894736842
2020-06-29,B.1,3,10,30
2020-06-29,B.1.111,3,10,30
2020-06-29,B.1.420,3,10,30
2020-06-29,Unassigned,1,10,10
2020-07-06,B.1,1,17,5.88235294117647
2020-07-06,B.1.1.348,1,17,5.88235294117647
2020-07-06,B.1.111,7,17,41.17647058823529
2020-07-06,B.1.420,3,17,17.647058823529413
2020-07-06,Other,1,17,5.88235294117647
2020-07-06,Unassigned,4,17,23.52941176470588
2020-07-13,B.1,4,13,30.76923076923077
2020-07-13,B.1.1.348,1,13,7.6923076923076925
2020-07-13,B.1.111,4,13,30.76923076923077
2020-07-13,B.1.420,3,13,23.076923076923077
2020-07-13,Unassigned,1,13,7.6923076923076925
2020-07-20,B.1,2,5,40
2020-07-20,B.1.420,3,5,60
2020-07-27,B.1,2,3,66.66666666666666
2020-07-27,B.1.111,1,3,33.33333333333333
2020-08-03,B.1,8,21,38.095238095238095
2020-08-03,B.1.111,3,21,14.285714285714285
2020-08-03,B.1.420,7,21,33.33333333333333
2020-08-03,Omicron (BA.1),1,21,4.761904761904762
2020-08-03,Unassigned,2,21,9.523809523809524
2020-08-10,B.1.1,1,3,33.33333333333333
2020-08-10,Omicron (BA.1),1,3,33.33333333333333
2020-08-10,Unassigned,1,3,33.33333333333333
2020-08-17,B.1.1,1,7,14.285714285714285
2020-08-17,B.1.111,3,7,42.857142857142854
2020-08-17,B.1.420,1,7,14.285714285714285
2020-08-17,Other,1,7,14.285714285714285
2020-08-17,Unassigned,1,7,14.285714285714285
2020-08-24,B.1.111,1,1,100
2020-08-31,B.1.111,1,2,50
2020-08-31,B.1.420,1,2,50
2020-09-07,B.1,2,15,13.333333333333334
2020-09-07,B.1.111,3,15,20
2020-09-07,B.1.420,1,15,6.666666666666667
2020-09-07,Unassigned,9,15,60
2020-09-14,B.1,2,2,100
2020-09-21,B.1,5,5,100
2020-09-28,B.1,2,4,50
2020-09-28,B.1.111,1,4,25
2020-09-28,B.1.420,1,4,25
2020-10-05,B.1,6,26,23.076923076923077
2020-10-05,B.1.1,1,26,3.8461538461538463
2020-10-05,B.1.111,5,26,19.230769230769234
2020-10-05,B.1.420,7,26,26.923076923076923
2020-10-05,Other,1,26,3.8461538461538463
2020-10-05,Unassigned,6,26,23.076923076923077
2020-10-12,B.1,6,11,54.54545454545454
2020-10-12,B.1.1,1,11,9.090909090909092
2020-10-12,B.1.111,1,11,9.090909090909092
2020-10-12,B.1.420,3,11,27.27272727272727
2020-10-19,B.1,3,13,23.076923076923077
2020-10-19,B.1.1,1,13,7.6923076923076925
2020-10-19,B.1.1.348,1,13,7.6923076923076925
2020-10-19,B.1.111,6,13,46.15384615384615
2020-10-19,B.1.420,2,13,15.384615384615385
2020-10-26,B.1,4,11,36.36363636363637
2020-10-26,B.1.1,1,11,9.090909090909092
2020-10-26,B.1.1.348,1,11,9.090909090909092
2020-10-26,B.1.111,1,11,9.090909090909092
2020-10-26,B.1.420,1,11,9.090909090909092
2020-10-26,Omicron (BA.1),1,11,9.090909090909092
2020-10-26,Other,1,11,9.090909090909092
2020-10-26,Unassigned,1,11,9.090909090909092
2020-11-02,B.1,2,5,40
2020-11-02,B.1.420,2,5,40
2020-11-02,Unassigned,1,5,20
2020-11-09,B.1,5,14,35.714285714285715
2020-11-09,B.1.1.348,1,14,7.142857142857142
2020-11-09,B.1.111,1,14,7.142857142857142
2020-11-09,B.1.420,4,14,28.57142857142857
2020-11-09,Omicron (BA.1),1,14,7.142857142857142
2020-11-09,Other,2,14,14.285714285714285
2020-11-16,B.1,3,10,30
2020-11-16,B.1.111,2,10,20
2020-11-16,B.1.420,1,10,10
2020-11-16,B.1.625,1,10,10
2020-11-16,Omicron (BA.1),1,10,10
2020-11-16,Other,1,10,10
2020-11-16,Unassigned,1,10,10
2020-11-23,B.1,3,12,25
2020-11-23,B.1.1,3,12,25
2020-11-23,B.1.1.348,1,12,8.333333333333332
2020-11-23,B.1.111,2,12,16.666666666666664
2020-11-23,Unassigned,3,12,25
2020-11-30,B.1,1,14,7.142857142857142
2020-11-30,B.1.1,5,14,35.714285714285715
2020-11-30,B.1.1.348,2,14,14.285714285714285
2020-11-30,B.1.111,3,14,21.428571428571427
2020-11-30,Other,2,14,14.285714285714285
2020-11-30,Unassigned,1,14,7.142857142857142
2020-12-07,B.1,3,9,33.33333333333333
2020-12-07,B.1.1,3,9,33.33333333333333
2020-12-07,B.1.111,2,9,22.22222222222222
2020-12-07,Other,1,9,11.11111111111111
2020-12-14,B.1,10,32,31.25
2020-12-14,B.1.1,4,32,12.5
2020-12-14,B.1.1.348,5,32,15.625
2020-12-14,B.1.111,9,32,28.125
2020-12-14,B.1.420,2,32,6.25
